Window: DR           | Result:  FAILED  | Level: 0% | Level_type:  | mode: 
Window: DR           | Result:  FAILED  | Level: 0% | Level_type:  | mode: 
Window: DR           | Result:  FAILED  | Level: 0% | Level_type:  | mode: 
Window: DR           | Result:  FAILED  | Level: 0% | Level_type:  | mode: 
Window: DR           | Result:  FAILED  | Level: 0% | Level_type:  | mode: 
Window: DR           | Result:  FAILED  | Level: 0% | Level_type:  | mode: 
Window: DR           | Result:  FAILED  | Level: 0% | Level_type:  | mode: 
Window: DR           | Result:  FAILED  | Level: 0% | Level_type:  | mode: 
Window: DR           | Result:  FAILED  | Level: 0% | Level_type:  | mode: 
Window: DR           | Result:  FAILED  | Level: 0% | Level_type:  | mode: 
Window: DR           | Result:  FAILED  | Level: 0% | Level_type:  | mode: Whonen
Window: DR           | Result:  FAILED  | Level: 0% | Level_type:  | mode: Whonen
Window: DR           | Result:  FAILED  | Level: 0% | Level_type:  | mode: Whonen
Window: DR           | Result:  FAILED  | Level: 0% | Level_type:  | mode: Whonen
Window: DR           | Result:  FAILED  | Level: 0% | Level_type:  | mode: Whonen
Window: DR           | Result:  FAILED  | Level: 0% | Level_type:  | mode: Whonen
Window: DR           | Result:  FAILED  | Level: 0% | Level_type:  | mode: Whonen
Window: DR           | Result:  FAILED  | Level: 0% | Level_type:  | mode: Whonen
Window: DR           | Result:  FAILED  | Level: 0% | Level_type:  | mode: Whonen
Window: DR           | Result:  FAILED  | Level: 0% | Level_type:  | mode: Whonen
Window: DR           | Result:  FAILED  | Level: 0% | Level_type:  | mode: Whonen
Window: DR           | Result:  FAILED  | Level: 0% | Level_type:  | mode: Whonen
Window: DR           | Result:  FAILED  | Level: 0% | Level_type:  | mode: Whonen
Window: DR           | Result:  FAILED  | Level: 0% | Level_type:  | mode: Whonen
Window: DR           | Result:  FAILED  | Level: 0% | Level_type:  | mode: Whonen
Window: DR           | Result:  FAILED  | Level: 0% | Level_type:  | mode: Whonen
Window: DR           | Result:  FAILED  | Level: 0% | Level_type:  | mode: Whonen
Window: DR           | Result:  FAILED  | Level: 0% | Level_type:  | mode: Whonen
Window: DR           | Result:  FAILED  | Level: 0% | Level_type:  | mode: Whonen
Window: DR           | Result:  FAILED  | Level: 0% | Level_type:  | mode: Whonen
Window: DR           | Result:  FAILED  | Level: 0% | Level_type:  | mode: Whonen
Window: DR           | Result:  FAILED  | Level: 0% | Level_type:  | mode: Whonen
Window: DR           | Result:  FAILED  | Level: 0% | Level_type:  | mode: Whonen
Window: DR           | Result:  FAILED  | Level: 0% | Level_type:  | mode: Whonen
Window: DR           | Result:  FAILED  | Level: 0% | Level_type:  | mode: Whonen
Window: DR           | Result:  FAILED  | Level: 0% | Level_type:  | mode: Whonen
Window: DR           | Result:  FAILED  | Level: 0% | Level_type:  | mode: Whonen
Window: DR           | Result:  FAILED  | Level: 0% | Level_type:  | mode: Whonen
Window: DR           | Result:  FAILED  | Level: 0% | Level_type:  | mode: Whonen
Window: DR           | Result:  FAILED  | Level: 0% | Level_type:  | mode: Whonen
Window: DR           | Result:  FAILED  | Level: 0% | Level_type:  | mode: Whonen
Window: DR           | Result:  FAILED  | Level: 0% | Level_type:  | mode: Whonen
Window: DR           | Result:  FAILED  | Level: 0% | Level_type:  | mode: Whonen
Window: DR           | Result:  FAILED  | Level: 0% | Level_type:  | mode: Whonen
Window: DR           | Result:  FAILED  | Level: 0% | Level_type:  | mode: Whonen
Window: DR           | Result:  FAILED  | Level: 0% | Level_type:  | mode: Whonen
Window: DR           | Result:  FAILED  | Level: 0% | Level_type:  | mode: Whonen
Window: DR           | Result:  FAILED  | Level: 0% | Level_type:  | mode: Whonen
Window: DR           | Result:  FAILED  | Level: 0% | Level_type:  | mode: Whonen
Window: DR           | Result:  FAILED  | Level: 0% | Level_type:  | mode: Whonen
Window: DR           | Result:  FAILED  | Level: 0% | Level_type:  | mode: Whonen
Window: DR           | Result:  FAILED  | Level: 0% | Level_type:  | mode: Whonen
Window: DR           | Result:  FAILED  | Level: 0% | Level_type:  | mode: Whonen
Window: DR           | Result:  FAILED  | Level: 0% | Level_type:  | mode: Whonen
Window: DR           | Result:  FAILED  | Level: 0% | Level_type:  | mode: Whonen
Window: DR           | Result:  FAILED  | Level: 0% | Level_type:  | mode: Whonen
Window: DR           | Result:  FAILED  | Level: 0% | Level_type:  | mode: Whonen
Window: DR           | Result:  FAILED  | Level: 0% | Level_type:  | mode: Whonen
Window: DR           | Result:  FAILED  | Level: 0% | Level_type:  | mode: Whonen
Window: DR           | Result:  FAILED  | Level: 0% | Level_type:  | mode: Whonen
Window: DR           | Result:  FAILED  | Level: 0% | Level_type:  | mode: Whonen
Window: DR           | Result:  FAILED  | Level: 0% | Level_type:  | mode: Whonen
Window: DR           | Result:  FAILED  | Level: 0% | Level_type:  | mode: Whonen
Window: DR           | Result:  FAILED  | Level: 0% | Level_type:  | mode: Whonen
Window: DR           | Result:  FAILED  | Level: 0% | Level_type:  | mode: Whonen
Window: DR           | Result:  FAILED  | Level: 0% | Level_type:  | mode: Whonen
Window: DR           | Result:  FAILED  | Level: 0% | Level_type:  | mode: Whonen
Window: DR           | Result:  FAILED  | Level: 0% | Level_type:  | mode: Whonen
Window: DR           | Result:  FAILED  | Level: 0% | Level_type:  | mode: Whonen
Window: DR           | Result:  FAILED  | Level: 0% | Level_type:  | mode: Whonen
Window: DR           | Result:  FAILED  | Level: 0% | Level_type: MANUAL | mode: Whonen
Window: DR           | Result:  FAILED  | Level: 0% | Level_type: MANUAL | mode: Whonen
Window: DR           | Result:  FAILED  | Level: 0% | Level_type: MANUAL | mode: Whonen
Window: DR           | Result:  FAILED  | Level: 0% | Level_type: MANUAL | mode: Whonen
Window: DR           | Result:  FAILED  | Level: 0% | Level_type: MANUAL | mode: Whonen
Window: DR           | Result:  FAILED  | Level: 0% | Level_type: MANUAL | mode: Whonen
Window: DR           | Result:  FAILED  | Level: 0% | Level_type: MANUAL | mode: Whonen
Window: DR           | Result:  FAILED  | Level: 0% | Level_type: MANUAL | mode: Whonen
Window: DR           | Result:  OP     | Level: 95% | Level_type: AUTO | mode: Whonen
Window: DR           | Result:  OP     | Level: 65% | Level_type: AUTO | mode: Whonen
Window: DR           | Result:  FAILED  | Level: 30% | Level_type: AUTO | mode: Whonen
Window: DR           | Result:  FAILED  | Level: 0% | Level_type: AUTO | mode: Whonen
Window: DR           | Result:  FAILED  | Level: 0% | Level_type: AUTO | mode: Whonen
Window: DR           | Result:  FAILED  | Level: 0% | Level_type: AUTO | mode: Whonen
Window: DR           | Result:  FAILED  | Level: 0% | Level_type: AUTO | mode: Whonen
Window: DR           | Result:  FAILED  | Level: 0% | Level_type: AUTO | mode: Whonen
Window: DR           | Result:  FAILED  | Level: 0% | Level_type: AUTO | mode: Whonen
Window: DR           | Result:  FAILED  | Level: 0% | Level_type: AUTO | mode: Whonen
Window: DR           | Result:  FAILED  | Level: 0% | Level_type: AUTO | mode: Whonen
Window: DR           | Result:  FAILED  | Level: 0% | Level_type: AUTO | mode: Whonen
Window: DR           | Result:  FAILED  | Level: 0% | Level_type: AUTO | mode: Whonen
Window: DR           | Result:  FAILED  | Level: 0% | Level_type: AUTO | mode: Whonen
Window: DR           | Result:  FAILED  | Level: 0% | Level_type: AUTO | mode: Whonen
Window: DR           | Result:  FOP    | Level: 0% | Level_type: AUTO | mode: Whonen
Window: DR           | Result:  FOP    | Level: 0% | Level_type: AUTO | mode: Whonen
Window: DR           | Result:  FOP    | Level: 0% | Level_type: AUTO | mode: Whonen
Window: DR           | Result:  FOP    | Level: 0% | Level_type: AUTO | mode: Whonen
Window: DR           | Result:  FOP    | Level: 0% | Level_type: AUTO | mode: Whonen
Window: DR           | Result:  FOP    | Level: 0% | Level_type: AUTO | mode: Whonen
Window: DR           | Result:  FOP    | Level: 0% | Level_type: AUTO | mode: Whonen
Window: DR           | Result:  FOP    | Level: 0% | Level_type: AUTO | mode: Whonen
Window: DR           | Result:  FOP    | Level: 0% | Level_type: AUTO | mode: Whonen
Window: DR           | Result:  FOP    | Level: 0% | Level_type: AUTO | mode: Whonen
Window: DR           | Result:  FOP    | Level: 0% | Level_type: AUTO | mode: Whonen
Window: DR           | Result:  FOP    | Level: 0% | Level_type: AUTO | mode: Whonen
Window: DR           | Result:  FAILED  | Level: 5% | Level_type: MANUAL | mode: Whonen
Window: DR           | Result:  FAILED  | Level: 10% | Level_type: MANUAL | mode: Fahren
Window: DR           | Result:  FAILED  | Level: 10% | Level_type: MANUAL | mode: Fahren
Window: DR           | Result:  FAILED  | Level: 10% | Level_type:  | mode: Fahren
Window: DR           | Result:  FAILED  | Level: 10% | Level_type:  | mode: Fahren
Window: DR           | Result:  FAILED  | Level: 10% | Level_type:  | mode: Fahren
Window: DR           | Result:  FAILED  | Level: 10% | Level_type:  | mode: Fahren
Window: DR           | Result:  FAILED  | Level: 10% | Level_type:  | mode: Fahren
Window: DR           | Result:  FAILED  | Level: 10% | Level_type:  | mode: Fahren
Window: DR           | Result:  FAILED  | Level: 10% | Level_type:  | mode: Fahren
Window: DR           | Result:  FAILED  | Level: 10% | Level_type:  | mode: Fahren
Window: DR           | Result:  FAILED  | Level: 10% | Level_type:  | mode: Fahren
Window: DR           | Result:  FAILED  | Level: 10% | Level_type:  | mode: Fahren
Window: DR           | Result:  OP     | Level: 65% | Level_type: AUTO | mode: Fahren
Window: DR           | Result:  OP     | Level: 30% | Level_type: AUTO | mode: Fahren
Window: DR           | Result:  FOP    | Level: 0% | Level_type: AUTO | mode: Fahren
Window: DR           | Result:  FOP    | Level: 0% | Level_type: AUTO | mode: Fahren
Window: DR           | Result:  FOP    | Level: 0% | Level_type: AUTO | mode: Fahren
Window: DR           | Result:  FOP    | Level: 0% | Level_type: AUTO | mode: Fahren
Window: DR           | Result:  FOP    | Level: 0% | Level_type: AUTO | mode: Fahren
Window: DR           | Result:  FOP    | Level: 0% | Level_type: AUTO | mode: Fahren
Window: DR           | Result:  FOP    | Level: 0% | Level_type: AUTO | mode: Fahren
Window: DR           | Result:  FOP    | Level: 0% | Level_type: AUTO | mode: Fahren
Window: DR           | Result:  FOP    | Level: 0% | Level_type: AUTO | mode: Fahren
Window: DR           | Result:  FOP    | Level: 0% | Level_type: AUTO | mode: Fahren
Window: DR           | Result:  FOP    | Level: 0% | Level_type: AUTO | mode: Fahren
Window: DR           | Result:  FOP    | Level: 0% | Level_type: AUTO | mode: Fahren
Window: DR           | Result:  FOP    | Level: 0% | Level_type: AUTO | mode: Fahren
Window: DR           | Result:  FOP    | Level: 0% | Level_type: AUTO | mode: Fahren
Window: DR           | Result:  FOP    | Level: 0% | Level_type: AUTO | mode: Fahren
Window: DR           | Result:  FOP    | Level: 0% | Level_type: AUTO | mode: Fahren
Window: DR           | Result:  FOP    | Level: 0% | Level_type: AUTO | mode: Fahren
Window: DR           | Result:  FOP    | Level: 0% | Level_type: AUTO | mode: Fahren
Window: DR           | Result:  FOP    | Level: 0% | Level_type: AUTO | mode: Fahren
Window: DR           | Result:  FOP    | Level: 0% | Level_type: AUTO | mode: Fahren
Window: DR           | Result:  FOP    | Level: 0% | Level_type: AUTO | mode: Fahren
Window: DR           | Result:  FOP    | Level: 0% | Level_type: AUTO | mode: Fahren
Window: DR           | Result:  FAILED  | Level: 0% | Level_type: AUTO | mode: Fahren
Window: DR           | Result:  FAILED  | Level: 0% | Level_type: AUTO | mode: Whonen
Window: DR           | Result:  FAILED  | Level: 0% | Level_type: AUTO | mode: Fahren
Window: DR           | Result:  FAILED  | Level: 0% | Level_type: AUTO | mode: Whonen
Window: DR           | Result:  FAILED  | Level: 0% | Level_type: AUTO | mode: Whonen
Window: DR           | Result:  FAILED  | Level: 0% | Level_type: AUTO | mode: Whonen
Window: DR           | Result:  FAILED  | Level: 0% | Level_type: AUTO | mode: Whonen
Window: DR           | Result:  FAILED  | Level: 0% | Level_type: AUTO | mode: Whonen
Window: DR           | Result:  FAILED  | Level: 0% | Level_type: AUTO | mode: Whonen
Window: DR           | Result:  FAILED  | Level: 0% | Level_type: AUTO | mode: Whonen
Window: DR           | Result:  FAILED  | Level: 0% | Level_type: AUTO | mode: Whonen
Window: DR           | Result:  FAILED  | Level: 0% | Level_type: AUTO | mode: Whonen
Window: DR           | Result:  FAILED  | Level: 0% | Level_type: AUTO | mode: Whonen
Window: DR           | Result:  FAILED  | Level: 0% | Level_type: AUTO | mode: Whonen
Window: DR           | Result:  FAILED  | Level: 0% | Level_type: AUTO | mode: Whonen
Window: DR           | Result:  FAILED  | Level: 0% | Level_type: AUTO | mode: Whonen
Window: DR           | Result:  FAILED  | Level: 0% | Level_type: AUTO | mode: Whonen
Window: DR           | Result:  FAILED  | Level: 0% | Level_type: AUTO | mode: Whonen
Window: DR           | Result:  FAILED  | Level: 0% | Level_type: AUTO | mode: Whonen
Window: DR           | Result:  FAILED  | Level: 0% | Level_type: AUTO | mode: Whonen
Window: DR           | Result:  FAILED  | Level: 0% | Level_type: AUTO | mode: Whonen
Window: DR           | Result:  FAILED  | Level: 0% | Level_type: AUTO | mode: Whonen
Window: DR           | Result:  FAILED  | Level: 0% | Level_type: AUTO | mode: Whonen
Window: DR           | Result:  OP_S   | Level: 15% | Level_type: MANUAL | mode: Whonen
Window: DR           | Result:  OP_S   | Level: 35% | Level_type: MANUAL | mode: Whonen
Window: DR           | Result:  OP_S   | Level: 35% | Level_type: MANUAL | mode: Whonen
Window: DR           | Result:  OP_S   | Level: 35% | Level_type: MANUAL | mode: Whonen
Window: DR           | Result:  OP_S   | Level: 35% | Level_type: MANUAL | mode: Whonen
Window: DR           | Result:  OP_S   | Level: 35% | Level_type: MANUAL | mode: Whonen
Window: DR           | Result:  OP_S   | Level: 35% | Level_type: MANUAL | mode: Whonen
Window: DR           | Result:  OP_S   | Level: 35% | Level_type: MANUAL | mode: Whonen
Window: DR           | Result:  OP_S   | Level: 35% | Level_type: MANUAL | mode: Whonen
Window: DR           | Result:  OP_S   | Level: 35% | Level_type: MANUAL | mode: Whonen
Window: DR           | Result:  OP_S   | Level: 35% | Level_type: MANUAL | mode: Whonen
Window: DR           | Result:  OP_S   | Level: 35% | Level_type: MANUAL | mode: Whonen
Window: DR           | Result:  OP_S   | Level: 35% | Level_type: MANUAL | mode: Whonen
Window: DR           | Result:  OP_S   | Level: 35% | Level_type: MANUAL | mode: Whonen
Window: DR           | Result:  OP_S   | Level: 35% | Level_type: MANUAL | mode: Whonen
Window: DR           | Result:  OP_S   | Level: 35% | Level_type: MANUAL | mode: Whonen
Window: DR           | Result:  OP_S   | Level: 35% | Level_type: MANUAL | mode: Whonen
Window: DR           | Result:  OP_S   | Level: 35% | Level_type: MANUAL | mode: Whonen
Window: DR           | Result:  OP_S   | Level: 35% | Level_type: MANUAL | mode: Whonen
Window: DR           | Result:  OP_S   | Level: 35% | Level_type: MANUAL | mode: Whonen
Window: DR           | Result:  OP_S   | Level: 35% | Level_type: MANUAL | mode: Whonen
Window: DR           | Result:  OP_S   | Level: 35% | Level_type: MANUAL | mode: Whonen
Window: DR           | Result:  OP_S   | Level: 35% | Level_type: MANUAL | mode: Whonen
Window: DR           | Result:  OP_S   | Level: 35% | Level_type: MANUAL | mode: Whonen
Window: DR           | Result:  OP_S   | Level: 35% | Level_type: MANUAL | mode: Whonen
Window: DR           | Result:  OP_S   | Level: 35% | Level_type: MANUAL | mode: Whonen
